Year,Month,Day,identifier,Newspaper,State,Title,Text
1865,1,2,1865010212206,New York Daily Tribune,NY,bank of north america,"the board of directors have this day declared a dividend of five per cent, free of tax, payable on and after january 3d. the transfer books are closed from this date to day of payment."
1865,1,2,1865010212223,New York Daily Tribune,NY,dividend.-,"the semi-annual dividend, free from govenment tax, at the rate of six per cent per annum on all sums from $5 to $500, and five per cent on sums over $500, will be payable on and after the 21st of january 1864. bank open daily from 10 am to 2 pm. and on monday, wednesday, and saturday evenings from 6 to 7 o'clock."
1865,1,2,1865010212213,New York Daily Tribune,NY,mechanics' and traders' bank,"an election for directors of this institution for the ensuing year, and for three inspectors for the next ensuing election, will be hold at the banking house, on wednesday, the 11th day of january, 1865. poll will be opened from 2 to 3 pm"
1865,1,2,1865010212221,New York Daily Tribune,NY,citizens' savings bank,"six per cent interest allowed on all sums of five hundred dollars and under, and six per cent on larger amount. money deposited now will draw interest from january 1. bank open daily from 10 to 3, and on monday, wednesday and friday evenings from 5 to 7. bank books in english, germain and french."
1865,1,2,1865010212224,New York Daily Tribune,NY,east river savings bank,"dividend.-the usual semi-annual dividend, at the rate of six cent per annum on all sums from $1 to $500, and five per cent per annum on sums over $500, will be payable on and after the 10th day pf january, 1865. bank open daily from 10 a.m. to 3 p.m., and on thursday evening from 5 to.7 clock. wm.h. slocum, president. chas a. whitnet secretary."
1865,1,2,1865010212217,New York Daily Tribune,NY,manufacturers' and merchants' bank,"dividend.- the board of directors have this day declared a divident of five per cent. payable to stockholders free of tax, on and after the 3d day of january next. transfer books will be closed from december 27 to january 3, inclusive. a masterton, cashier."
1865,1,2,1865010212202,New York Daily Tribune,NY,tradersmen's bank,"a dividend of six per cent, (free of tax), has been declared payable to the stockholders on and after the 3d day of january."
1865,1,2,1865010212222,New York Daily Tribune,NY,notice to stockholders,"the annual election for nine directors for the ensuing year and three inspectors of the next election, will be held at the banking house on the second monday of january next, being the 9th day of said month. poll to open at 12 o'clock and close at 1 o'clock pm. by order of the board of directors."
1865,1,2,1865010212227,New York Daily Tribune,NY,manhattan savings institution,"twenty-eight semi-annual dividend. the trustees of this institution have declared the twenty eighth semi-annual dividend on all deposits ( by the rules entitled thereto) at the rate of six per cent per annum on sums of $500 and under, and five per cent per annum on amounts exceeding $500, free of tax, paybale on and after the 16th day of january. the dividend will be credited under date of january 1, and if not withdrawn will receive interest the same as a deposit."
1865,1,2,1865010212226,New York Daily Tribune,NY,the fourth national bank of the city of new york,"this bank has ready for sale (allowing the commission to purchase) u.s. 73`10 notes, which at maturity are convertible into a six per cent gold bearing loan; collects warrants, certificates, maturing loans and drafts and attends to all financial business with government. parties wishing to avoid the delay and inconvenience of direct correspondence with the departments, are invited to apply at this bank. morris ketchum, president. d.w. vauohan, cashier."
1865,1,2,1865010212225,New York Daily Tribune,NY,greenwich savings bank,"january interest for 1865. the board of trustees of this intitution have directed that interest at the rate of five per cent per annum on all sums of five hundred dollars and under, and of four per ent per annum on deposits over five hundred dollars free from tax to be allowed to all deposits entitled thereto, payable on and after monday, january 16, 1865. all interest not drawn will draw interest from january 1st on principal."
1865,1,2,1865010212208,New York Daily Tribune,NY,ninth national bank,"a dividend of five per cent, free of tax, will be paid to the stockholders of this bank on the 3d day of january 1865. the transfer books close on the 24th instant., to reopen  january 3, 1865. by order of the board."
1865,1,2,1865010212201,New York Daily Tribune,NY,atlantic savings bank,"six per cent interest allowed. open daily. deposits made now or before january 2, will draw interest from that that."
1865,1,2,1865010212218,New York Daily Tribune,NY,the manufacturers' bank,"the manufacturers' bank, brooklyn, n.y.. have declared a cash dividend of eight per cent, oayable on demand, and a stock dividend of twenty per cent, payable on and after the 11th day of january next. the transfer books are closed until the 10th january next inclusive. "
1865,1,2,1865010212205,New York Daily Tribune,NY,ninth national bank,"notice is hereby given that an election for nine directors to serve for the ensuing year, will be held at this bank on tuesday, january 10, 1865, between the hours of 12 and 2 o'clock."
1865,1,2,1865010212215,New York Daily Tribune,NY,east river savings bank,"the board of directors have declared a dividend from the profits of the last six months, of four per cent, free of tax, payable on and after the jan 3. 1865. transfer books will be closed from the 23d inst. to jan. 3, inclusive."
1865,1,2,1865010212210,New York Daily Tribune,NY,tenth national bank,"a dividend of five per cent, free of tax, has been declared, payable to the stockholders on the 3d day of january next. the transfer books close on the 27th inst., and open on the 3d of january.  hogn h. stout, cashier."
1865,1,2,1865010212219,New York Daily Tribune,NY,union dime savings bank,"open daily from 10 am to 3 and on monday, wedenday and saturday evenings from 5 to 7 pm. six per cent interest, free from tax, allowed on sums of $? and under and five per cent on larger sums. money deposited on or before january 20 will bear interest from january 1."
1865,1,2,1865010207201,Daily Dispatch,VA,notice,"the general meeting of the stockholders of the bank of virginia will be held at their banking-house, in the city of richmond, on monday, the 9th of january, 1865. the law provides that no officer or director of the bank shall vote as the proxy of a stockholder in any election of directors or others of the bank, nor shall any proxy be valid which shall have been executed sixty days before the time of election. "
1865,1,3,1865010307201,Daily Dispatch,VA,notice,"the general meeting of the stockholders of the bank of virginia will be held at their banking-house, in the city of richmond, on monday, the 9th of january, 1865. the law provides that no officer or director of the bank shall vote as the proxy of a stockholder in any election of directors or others of the bank, nor shall any proxy be valid which shall have been executed sixty days before the time of election. "
1865,1,4,1865010407201,Daily Dispatch,VA,notice,"the general meeting of the stockholders of the bank of virginia will be held at their banking-house, in the city of richmond, on monday, the 9th of january, 1865. the law provides that no officer or director of the bank shall vote as the proxy of a stockholder in any election of directors or others of the bank, nor shall any proxy be valid which shall have been executed sixty days before the time of election. "
1865,1,4,1865010407202,Daily Dispatch,VA,farmer's bank of virginia,"the general meeting of the stockholders of the farmers bank of virginia will be held at their banking-house, in the city of richmond, on wednesday, the 11th day of january, 1865. the law provides that no officer or director of the bank shall vote as the proxy of a stockholder in any election of directors or others of the bank, nor shall any proxy be valid which shall have been executed sixty days before the time of election. "
1865,1,6,1865010607202,Daily Dispatch,VA,farmer's bank of virginia,"the general meeting of the stockholders of the farmers bank of virginia will be held at their banking-house, in the city of richmond, on wednesday, the 11th day of january, 1865. the law provides that no officer or director of the bank shall vote as the proxy of a stockholder in any election of directors or others of the bank, nor shall any proxy be valid which shall have been executed sixty days before the time of election. "
1865,1,6,1865010607201,Daily Dispatch,VA,notice,"the general meeting of the stockholders of the bank of virginia will be held at their banking-house, in the city of richmond, on monday, the 9th of january, 1865. the law provides that no officer or director of the bank shall vote as the proxy of a stockholder in any election of directors or others of the bank, nor shall any proxy be valid which shall have been executed sixty days before the time of election. "
1865,1,7,1865010707202,Daily Dispatch,VA,farmer's bank of virginia,"the general meeting of the stockholders of the farmers bank of virginia will be held at their banking-house, in the city of richmond, on wednesday, the 11th day of january, 1865. the law provides that no officer or director of the bank shall vote as the proxy of a stockholder in any election of directors or others of the bank, nor shall any proxy be valid which shall have been executed sixty days before the time of election. "
1865,1,7,1865010707201,Daily Dispatch,VA,notice,"the general meeting of the stockholders of the bank of virginia will be held at their banking-house, in the city of richmond, on monday, the 9th of january, 1865. the law provides that no officer or director of the bank shall vote as the proxy of a stockholder in any election of directors or others of the bank, nor shall any proxy be valid which shall have been executed sixty days before the time of election. "
1865,1,9,1865010907202,Daily Dispatch,VA,farmer's bank of virginia,"the general meeting of the stockholders of the farmers bank of virginia will be held at their banking-house, in the city of richmond, on wednesday, the 11th day of january, 1865. the law provides that no officer or director of the bank shall vote as the proxy of a stockholder in any election of directors or others of the bank, nor shall any proxy be valid which shall have been executed sixty days before the time of election. "
1865,1,9,1865010907201,Daily Dispatch,VA,notice,"the general meeting of the stockholders of the bank of virginia will be held at their banking-house, in the city of richmond, on monday, the 9th of january, 1865. the law provides that no officer or director of the bank shall vote as the proxy of a stockholder in any election of directors or others of the bank, nor shall any proxy be valid which shall have been executed sixty days before the time of election. "
1865,1,9,1865010909201,Evening Star,DC,washington city savings bank,"washington city savings bank, incorporated march 8th, 1854 - edward simms, president and treasurer. edward clark, vice president and secretary. directors. wm. p. dole, j. j. coombs, john r. elvans, thos. j. gardner, s. v. niles. this bank is now open for the receipt of deposits, at the new banking house, no. 58 louisiana av., under simm's new building. edward clark, secretary. edward clark & co., bankers, at the savings bank, no. 58 louisiana avenue. dealers in exchange, gold and silver, and general banking business. edward clark, john r. elvans."
1865,1,11,1865011107201,Daily Dispatch,VA,farmer's bank of virginia,"the general meeting of the stockholders of the farmers bank of virginia will be held at their banking-house, in the city of richmond, on wednesday, the 11th day of january, 1865. the law provides that no officer or director of the bank shall vote as the proxy of a stockholder in any election of directors or others of the bank, nor shall any proxy be valid which shall have been executed sixty days before the time of election. "
1865,1,16,1865011607201,Daily Dispatch,VA,farmer's bank of virginia,"the members of the virginia savings bank will meet this (monday) morning at 10 o'clock, at the store of e.b. spence, esq. on business of importance. "
1865,3,4,1865030418202,New York Times,NY,freedmen's banks,"fsbs. mr. eliot, of massachusetts, (union) moved a suspension of the rules, to take up the senate bill to incorporate the fsb. mr. eldridge objected. mr. eliot - there can be no objection to the bill. mr. james c. allen, of illinois. (dem...) called for the reading of the title of the bill. the noise was so great he could not at first hear it. the house began voting by tellers, and while this was going on the speaker was engaged in signing enrolled bills. the house by a vote of 72 yeas against 36 nays suspended the rules, and, under the operation of the previous question, the bill was passed."
1865,3,4,1865030418201,New York Times,NY,freedmen's banks,"fsbs. mr. eliot, of massachusetts, (union) moved a suspension of the rules, to take up the senate bill to incorporate the fsb. mr. eldridge objected. mr. eliot - there can be no objection to the bill. mr. james c. allen, of illinois. (dem...) called for the reading of the title of the bill. the noise was so great he could not at first hear it. the house began voting by tellers, and while this was going on the speaker was engaged in signing enrolled bills. the house by a vote of 72 yeas against 36 nays suspended the rules, and, under the operation of the previous question, the bill was passed."
1865,4,3,1865040318206,New York Times,NY,dispatches to the associated press. a freedmen's national bank,"several days ago, a dozen colored men from boston, new york, philadelphia, washington and elsewhere, met by invitation at the room of senator pomeboy, of kansas, to initiate measures for establishing a freedmen's national bank, to be located in this city. one of the colored men is reported to be worth $150,000, which he has invested in government securities. there was wealth enough amongst them to subscribe to a capital of $200,000. application was accordingly made to the comptroller of the currency for the proper authorization to establish such bank. this request will be granted, provided the state banks converting themselves into national banks, which have a preference, shall not absorb the limit of the aggregate capital prescribed by congress. a final decision will be given after the 1st of july next on the application for a fsb."
1865,4,3,1865040318205,New York Times,NY,six per cent - free from government tax,"six per cent - free from tax. third avenue savings bank, corner third-avenue and twenty sixth street. present deposits, $1,675,000. six per cent interest paid on all sums from $1 to $1000 free from tax. all moneys deposited on or before april 10 will draw interest from the 1st. bank open daily from 10 am to 3 om and on monday, wednesday and saturday evenings from 6 to 8 o'clock. spencer k. green, president. richard kelly, secretary."
1865,4,3,1865040318202,New York Times,NY,atlantic savings bank,"atlantic savings bank, chatham square, new york, open daily. six per cent. interest allowed. deposits made now or on or before april 20, will draw interest from april 1. m. d. van pelt, president. charles d. bailey, treasurer. joseph p. cooper, secretary."
1865,4,3,1865040318203,New York Times,NY,citizens' savings bank,"citizens' savings bank. bowery, corner of canal st. six per cent interest allowed on all sums of $500 and under, and five per cent on larger amounts. money deposited on or before april 20 will draw interest from april 1. bank open daily from 10 to 3 and on monday, wednesday and friday evenings, from 5 to 7. bank-books in english. german and french. geo. folsom, president. seymour a. bunce, secretary. "
1865,4,3,1865040318207,New York Times,NY,dispatches to the associated press. a freedmen's national bank,"several days ago, a dozen colored men from boston, new york, philadelphia, washington and elsewhere, met by invitation at the room of senator pomeboy, of kansas, to initiate measures for establishing a freedmen's national bank, to be located in this city. one of the colored men is reported to be worth $150,000, which he has invested in government securities. there was wealth enough amongst them to subscribe to a capital of $200,000. application was accordingly made to the comptroller of the currency for the proper authorization to establish such bank. this request will be granted, provided the state banks converting themselves into national banks, which have a preference, shall not absorb the limit of the aggregate capital prescribed by congress. a final decision will be given after the 1st of july next on the application for a fsb."
1865,4,3,1865040318201,New York Times,NY,franklin savings bank,"franklin savings bank - corner of 42nd st, and 8 th. open daily. interest 6 per cent. deposits made before the 21st of april draw interest from the 1st of april. samuel newby, president. james t. chamberlain, secretary."
1865,4,3,1865040318204,New York Times,NY,union dime savings bank,"union dime savings bank. nos. 427 and 429 canal st, corner of varick. assets, $1,315,570 15. open daily from 10 am to 3 pm and on monday, wednesday and saturday evenings, from 5 to 7. six per cent interest free from tax, allowd on sums of and under, and five per cent on larger sums. money deposited on or before april 20 will beat interest from april 1. eder v. haughwout, president. gardner s. chaplin, secretary."
1865,4,4,1865040418201,New York Times,NY,new york savings bank,"new york savings bank, corner of 14th st and 18th av, open daily from 1 to 5 pm. wednesdays and saturdays from 1 to 7 pm. six per cent interest free from tax. deposits made on or before april 10 will draw interest at once. thos. christy, president. r. h. bull, secretary."
1865,4,5,1865040518201,New York Times,NY,six per cent - free from government tax,"six per cent - free from tax. third avenue savings bank, corner third-avenue and twenty sixth street. present deposits, $1,675,000. six per cent interest paid on all sums from $1 to $1000 free from tax. all moneys deposited on or before april 10 will draw interest from the 1st. bank open daily from 10 am to 3 om and on monday, wednesday and saturday evenings from 6 to 8 o'clock. spencer k. green, president. richard kelly, secretary."
1865,4,6,1865040618202,New York Times,NY,atlantic savings bank,"atlantic savings bank, chatham square, new york, open daily. six per cent. interest allowed. deposits made now or on or before april 20, will draw interest from april 1. m. d. van pelt, president. charles d. bailey, treasurer. joseph p. cooper, secretary."
1865,4,6,1865040618205,New York Times,NY,union dime savings bank,"union dime savings bank. nos. 427 and 429 canal st, corner of varick. assets, $1,315,570 15. open daily from 10 am to 3 pm and on monday, wednesday and saturday evenings, from 5 to 7. six per cent interest free from tax, allowd on sums of and under, and five per cent on larger sums. money deposited on or before april 20 will beat interest from april 1. eder v. haughwout, president. gardner s. chaplin, secretary."
1865,4,6,1865040618206,New York Times,NY,six per cent - free from government tax,"six per cent - free from tax. third avenue savings bank, corner third-avenue and twenty sixth street. present deposits, $1,675,000. six per cent interest paid on all sums from $1 to $1000 free from tax. all moneys deposited on or before april 10 will draw interest from the 1st. bank open daily from 10 am to 3 om and on monday, wednesday and saturday evenings from 6 to 8 o'clock. spencer k. green, president. richard kelly, secretary."
1865,4,6,1865040618204,New York Times,NY,citizens' savings bank,"citizens' savings bank. bowery, corner of canal st. six per cent interest allowed on all sums of $500 and under, and five per cent on larger amounts. money deposited on or before april 20 will draw interest from april 1. bank open daily from 10 to 3 and on monday, wednesday and friday evenings, from 5 to 7. bank-books in english. german and french. geo. folsom, president. seymour a. bunce, secretary. "
1865,4,6,1865040618201,New York Times,NY,market savings bank,"market savings bank, no. 82 nassau st, new york. open daily. six per cent interest allowed. money deposited now will draw interest from april 1. james c. stoneall, president. henry r. conelin, secretary."
1865,4,6,1865040618203,New York Times,NY,new york savings bank,"new york savings bank, corner of 14th st and 18th av, open daily from 1 to 5 pm. wednesdays and saturdays from 1 to 7 pm. six per cent interest free from tax. deposits made on or before april 10 will draw interest at once. thos. christy, president. r. h. bull, secretary."
1865,4,7,1865040718203,New York Times,NY,new york savings bank,"new york savings bank, corner of 14th st and 18th av, open daily from 1 to 5 pm. wednesdays and saturdays from 1 to 7 pm. six per cent interest free from tax. deposits made on or before april 10 will draw interest at once. thos. christy, president. r. h. bull, secretary."
1865,4,7,1865040718201,New York Times,NY,franklin savings bank,"franklin savings bank - corner of 42nd st, and 8 th. open daily. interest 6 per cent. deposits made before the 21st of april draw interest from the 1st of april. samuel newby, president. james t. chamberlain, secretary."
1865,4,7,1865040718202,New York Times,NY,atlantic savings bank,"atlantic savings bank, chatham square, new york, open daily. six per cent. interest allowed. deposits made now or on or before april 20, will draw interest from april 1. m. d. van pelt, president. charles d. bailey, treasurer. joseph p. cooper, secretary."
1865,4,7,1865040718204,New York Times,NY,citizens' savings bank,"citizens' savings bank. bowery, corner of canal st. six per cent interest allowed on all sums of $500 and under, and five per cent on larger amounts. money deposited on or before april 20 will draw interest from april 1. bank open daily from 10 to 3 and on monday, wednesday and friday evenings, from 5 to 7. bank-books in english. german and french. geo. folsom, president. seymour a. bunce, secretary. "
1865,4,7,1865040718206,New York Times,NY,six per cent - free from government tax,"six per cent - free from tax. third avenue savings bank, corner third-avenue and twenty sixth street. present deposits, $1,675,000. six per cent interest paid on all sums from $1 to $1000 free from tax. all moneys deposited on or before april 10 will draw interest from the 1st. bank open daily from 10 am to 3 om and on monday, wednesday and saturday evenings from 6 to 8 o'clock. spencer k. green, president. richard kelly, secretary."
1865,4,7,1865040718205,New York Times,NY,union dime savings bank,"union dime savings bank. nos. 427 and 429 canal st, corner of varick. assets, $1,315,570 15. open daily from 10 am to 3 pm and on monday, wednesday and saturday evenings, from 5 to 7. six per cent interest free from tax, allowd on sums of and under, and five per cent on larger sums. money deposited on or before april 20 will beat interest from april 1. eder v. haughwout, president. gardner s. chaplin, secretary."
1865,5,1,1865050118201,New York Times,NY,market savings bank,"market savings bank, no. 82 nassau st, new york. open daily. six per cent interest allowed. money deposited now will draw interest from may 1. james c. stoneall, president. henry r. conelin, secretary."
1865,5,1,1865050118202,New York Times,NY,new york savings bank,"new york savings bank, corner of 14th-st and 8th-avs. open daily from 1 to 5 p.m. wednesdays and saturdays from 1 to 7 p.m. six per cent interest free from tax. deposits made on or before may 1 will draw interest from that date. thos. christy, president. robt. bull. secretary."
1865,6,13,1865061312201,New York Daily Tribune,NY,freedman's savings bank in richmond - reorganizing a colored church - getting rid of a rebel preacher - deliberations - what « uncle tom » said - an unanswerable speech - burrying money - a negro who had made enough - another meeting to be called,"mr. hewitt, first vice-president of the « fsb » of new york was here a few days ago for the purpose of establishing a branch in this city for the benefit of the colored people. it was arranged that he should present the subject to a meeting of the leading colored men, who were to be assembled for the purpose. at the hour appointed, mr. hewitt, accompanied by  mr. coo[c], superintendent of the colored schools, the rev. mr. dudley and mr. van vleet, repaired to the ebenezer church, where they found about 100 colored men earnestly engaged in reorganizing their church. this was a baptist church, and, according to virginia slave law, they were obliged to have a white pastor ; but, since their emancipation, they determined that they would get rid of the old rebel preacher, and have one who would give them the true gospel as preached in the north, as they had tried the southern religion long enough - i quote their own language. when we entered, they were busily engaged in discussing the propriety of adopting a written constitution. their new minister, a colored man from boston, was chairman of the meeting, the secretary being an intelligent mulatre, who kept the minutes as correctly as any white man could do. some of them thought the bible was constitution enough, while others maintained and gave good reasons for a different opinion. their discussions were conducted according to parliamentary law, which they seemed to understand quite well. to cut off debate, on a certain point, the previous question was called, and they went through the business correctly and without balting, which is not always the case in white deliberative bodies. there was quite a strong opposition to adopting the form of church government they were considering, and the tide of sentiment appeared to be setting against it, when an old « uncle tom » arose, and made an animated and sensible speech in favor of adopting the document before them, and which he had presented. in the course of his speech he told them the following history of the paper which they seemed about to reject. he said that a few years ago he happened to be in the country where some white brothers were organizing a baptist church, and they adopted the very same document he had given them. one of the brothers gave him a copy, which he at first refused, as he did not suppose it would ever be of any use to him, but something told him to keep it, for the time would come when his people would be free, and then they would want to have church organization, and so he kept it, and hid it away ; several white men tried to get it away from him, but when they wanted it he [?] had it, and now, thank god, we are free, and we want our own church - our own pastor, and our own constitution, god gave it to me and enabled me to keep it. i have this [?] placed it upon your table, and he meant that you should need it. you may think i am superstitious, but god has lately manifested this goodness toward us in such a remarkable manner that i believe he intended this for us, and i hope you will accept it. the speech was unanswerable, the vote was immediately taken and the document was unanimously adopted, and as soon as the result was declared they [?] down, and the good old man whose simple story had carried the point, made an eloquent and touching prayer, and when he prayed for the president of the united states and for the preservation of the union they all audibly and fervently united with him. having disposed of the business before them, they invited mr. hewitt to address them, when he clearly unfolded the plan for a saving bank. they listened with earnest attention, and at once comprehended the whole subject, but wished to hear the opinions of the other gentlemen, which were given in favor of the institution, and then they began. one man said that for the want of such a bank he had lost $3,000. he had always made plenty of money, but he had no place to keep it ; he had given some to white men to keep for him, and they had always kept it ; he had buried some and could never find it, and he was glad that now he could have some place to put his money where it would be safe. another said that during the war he buried $700 in gold, and someone had scratched it up. [a general laugh]. an amusing story was told of an old negro, who had been quite industrious and mande considerable money, but suddenly became indolent and no longer tried to accumulate wealth. when called upon for an explanation, he said he didn't want any money, for when he had it it gave him too much trouble and made him unhappy. he had no secure place to keep it ; he used to keep his door locked, his windows nailed down, and his chimney stopped up, to keep it from being stolen, and yet he lost it, and therefore the only way to be happy was not to be bothered with money. several interesting stories were told about the disposition of funds raised by them for benevolent and missionary purposes, and how those funds had been used by store dealers for the purpose of trading in stores, but which could not have been done if they had had a bank of their own. in discussing this matter they manifested a surprising degree of business shrewdness and intelligence. one old man wanted to know what security they would have that their money would be safe? mr. hewitt told him that the company was composed of a large number of the best and wealthiest men in the united states, but as they were not personally responsible, he could only trust to their honor and integrity of character. were there any old rebels and slaveholders among them, continued the inquirer? no, said mr. hewitt, they are all northern men, and your friends. « den, dat's all right », was the response from several. « but » continued the old man, « what's done wid de money ». that, said, mr. hewitt, is invested in united states stocks. at this reply, the old financier stood a moment as if in profound meditation, and then said with apparent satisfaction. « well, den, de bank can't break widont de united states breaks, and dar's no danger of that, though de rebels tried a mighty hard to break it », and took his seat amid a merry laugh. mr. hewitt proposed that they should consider this matter - call another meeting, and then appoint a committee to take the matter in hand ; but they told him that was not fast enough for them - they understood the matter - wanted the bank, and would immediately appoint a committee of fifteen to enter upon the business at once, which was done, and then passing a resolution of thanks for this new manifestation of friendship on the part of their white friends, resumed their church matters, and we retired surprised at the business intelligence and progressive character of these people. "
1865,6,20,1865062018205,New York Times,NY,union dime savings bank,"union dime savings bank, no 420 canal st, corner of varick. open daily from 10 a.m. to 3 and on monday, wednesday and saturday evenings from 6 to 7 p.m. six per cent interest, free of tax, allowed on sums of $500 and under, and five per cent on larger sums. money deposited on or before july 1 will bear interest from that date. eder v. haughwout, president. gardner b. chapin, secretary. "
1865,6,20,1865062018201,New York Times,NY,mariners' savings bank,"mariners' savings institution. no 1 third av. in conformity with the act of the legislature, this institution will here after be known by the name of metropolitan savings bank. thos b. stillman, president. phillip w. engs, allan hay, vice-presidents. isaac t. smith, secretary."
1865,6,20,1865062018203,New York Times,NY,irving savings institution,"irving savings institution, no. 96 warren st. interest allowed at the rate of 6 per cent on all sums entitled there to. open daily from 10 to 2 p.m. and on monday, thursday and saturday afternoons from 4 to 7 p.m. n. r. - money to loan on bond and mortgage. walker w. concklin, president. vanderbilt l. buxton, secretary."
1865,6,20,1865062018204,New York Times,NY,metropolitan savings bank,"metropolitan savings bank, no. 1 2nd av. late mariners' savings institution. dividend. the trustees of this bank have this day declared a dividend of 5 and 6 per cent. free from tax on all deposits entitled thereto, payable on or after the 26th of july. thos b. stillman, president. phillip w. engs, allan hay, vice-presidents. isaac t. smith, secretary."
1865,6,20,1865062018202,New York Times,NY,metropolitan savings bank,"metropolitan savings bank. no 1 3d av. open daily from 10 a.m. to 2 p.m. and on monday, wednesday and saturday evenings, from 5 to 7 p.m. money deposited at this time will be allowed interest from the 1st of july. thos b. stillman, president, phillip w. engs, allan hay, vice-presidents. isaac t. smith, secretary."
1865,7,10,1865071018206,New York Times,NY,six per cent - free from government tax. third avenue savings bank.,"six per cent - free from tax. third avenue savings bank, corner third-avenue and twenty sixth street. present deposits, $1,675,000. six per cent interest paid on all sums from $1 to $1000 free from tax. all moneys deposited on or before april 10 will draw interest from the 1st. bank open daily from 10 am to 3 om and on monday, wednesday and saturday evenings from 6 to 8 o'clock. spencer k. green, president. richard kelly, secretary."
1865,7,10,1865071018209,New York Times,NY,metropolitan savings bank,"metropolitan savings bank, no. 1 3d-av. late mariners' savings institution. the trustees of this bank have this day declared a dividend of 5 and 6 per cent interest (free from tax), payable on or after the 29th of july. bank open daily from 10 a.m. to 2 p.m., and on monday' wednesday and saturday evenings from 5 to 7 p.m. money deposited at this time will be allowed interest from the 1st of july. thos b. stillman, president. phillip w. engs, allan hay, vice-presidents. isaac t. smith, secretary."
1865,7,10,1865071018210,New York Times,NY,greenwich savings bank,"greenwich savings bank, no. 73 8th av. june 30, 1865. july interest for 1865 - the board of trustees of this institution have directed that interest, at the rate of five per cent per annum on all sums of five hundred dollars and under, and of four per cent per annum on deposits over five hundred dollars, free from tax, be allowd to all depositors entitled thereto, payable on and after monday, july 17, 1865. all interest not drawn will draw interest from july 1, as principal. b. f. wheelwright, president. john s. dickerson, james bryce, secretaries."
1865,7,10,1865071018203,New York Times,NY,irving savings institution,"irving savings institution, no. 96 warren st. interest allowed at the rate of 6 per cent on all sums entitled there to. open daily from 10 to 2 p.m. and on monday, thursday and saturday afternoons from 4 to 7 p.m. n. r. - money to loan on bond and mortgage. walker w. concklin, president. vanderbilt l. buxton, secretary."
1865,7,10,1865071018204,New York Times,NY,mechanics' and traders' savings institution,"mechanics' and traders' savings institution. no. 288 bowery. six per cent interest allowed on sums of one thousand dollars and under. five per cent on larger sums. deposits made on or before july 20 will draw interest form july 1. open daily from 10 a.m. to 1 p.m. and on mondays and wednesdays from 10 a.m. to 7 p.m. chas. peck, president. henry c. fisher, secretary."
1865,7,10,1865071018207,New York Times,NY,union dime savings bank,"union dime savings bank, nos 427 and 429 canal st., corner varick, assets... $1,490,318 11. open daily from 10 a.m. to 3, and on monday, wednesday and saturday evenings from 5 to 7 p.m. six per cent interest, free of tax, allowed on sums of $500 and under, and five per cent on larger sums. money deposited on or before july 20, will bear interest from july 1. bank books in english, german and french. eder v. haughwout, president. gardner s. chapin, secretary."
